,gene_ids
HLA-DRB6,ENSG00000229391.7
HLA-DRB1,ENSG00000196126.11
HLA-DQA1,ENSG00000196735.13
HLA-DQB1,ENSG00000179344.16
HLA-DQA2,ENSG00000237541.4
HLA-DOB,ENSG00000241106.8
TAP2,ENSG00000204267.16
HLA-DMB,ENSG00000242574.9
HLA-DMA,ENSG00000204257.15
AL645941.3,ENSG00000263756.1
HLA-DPA1,ENSG00000231389.7
HLA-DPB1,ENSG00000223865.11
HCG25,ENSG00000232940.6
B3GALT4,ENSG00000235863.4
RGL2,ENSG00000237441.10
DAXX,ENSG00000204209.13
KIFC1,ENSG00000237649.8
PHF1,ENSG00000112511.17
SYNGAP1,ENSG00000197283.17
SYNGAP1-AS1,ENSG00000274259.2
ITPR3,ENSG00000096433.11
LEMD2,ENSG00000161904.12
PACSIN1,ENSG00000124507.11
ILRUN,ENSG00000196821.10
AL451165.2,ENSG00000272288.6
UHRF1BP1,ENSG00000065060.17
ANKS1A,ENSG00000064999.15
ZNF76,ENSG00000065029.15
FKBP5,ENSG00000096060.14
MAPK14,ENSG00000112062.10
BRPF3,ENSG00000096070.19
STK38,ENSG00000112079.9
CDKN1A,ENSG00000124762.14
RAB44,ENSG00000255587.9
CPNE5,ENSG00000124772.12
PI16,ENSG00000164530.15
FGD2,ENSG00000146192.15
PIM1,ENSG00000137193.14
CMTR1,ENSG00000137200.13
MDGA1,ENSG00000112139.16
BTBD9,ENSG00000183826.18
TREML1,ENSG00000161911.11
TREML2,ENSG00000112195.9
TREM1,ENSG00000124731.13
TFEB,ENSG00000112561.18
FRS3,ENSG00000137218.10
USP49,ENSG00000164663.14
TRERF1,ENSG00000124496.12
BICRAL,ENSG00000112624.12
PTCRA,ENSG00000171611.10
AL035587.2,ENSG00000287825.1
CUL7,ENSG00000044090.10
KLC4,ENSG00000137171.15
CUL9,ENSG00000112659.14
ZNF318,ENSG00000171467.16
ABCC10,ENSG00000124574.15
TJAP1,ENSG00000137221.14
GTPBP2,ENSG00000172432.19
VEGFA,ENSG00000112715.24
TMEM63B,ENSG00000137216.19
HSP90AB1,ENSG00000096384.20
RUNX2,ENSG00000124813.23
CLIC5,ENSG00000112782.19
AL035701.1,ENSG00000231769.3
ENPP4,ENSG00000001561.7
ENPP5,ENSG00000112796.10
RCAN2,ENSG00000172348.14
PLA2G7,ENSG00000146070.17
IL17A,ENSG00000112115.7
IL17F,ENSG00000112116.10
EFHC1,ENSG00000096093.16
TRAM2,ENSG00000065308.5
TRAM2-AS1,ENSG00000225791.7
AL162581.1,ENSG00000202198.1
CILK1,ENSG00000112144.15
DST,ENSG00000151914.20
ZNF451,ENSG00000112200.17
OGFRL1,ENSG00000119900.9
DDX43,ENSG00000080007.8
MYO6,ENSG00000196586.16
SH3BGRL2,ENSG00000198478.8
TENT5A,ENSG00000112773.16
DOP1A,ENSG00000083097.14
ME1,ENSG00000065833.9
CEP162,ENSG00000135315.12
NT5E,ENSG00000135318.12
AL139274.2,ENSG00000272008.1
SLC35A1,ENSG00000164414.18
AKIRIN2,ENSG00000135334.9
PNRC1,ENSG00000146278.11
RRAGD,ENSG00000025039.15
MDN1,ENSG00000112159.12
BACH2,ENSG00000112182.15
MANEA-DT,ENSG00000261366.1
FBXL4,ENSG00000112234.9
HACE1,ENSG00000085382.12
PRDM1,ENSG00000057657.17
CD24,ENSG00000272398.6
SCML4,ENSG00000146285.14
FOXO3,ENSG00000118689.15
SESN1,ENSG00000080546.13
AK9,ENSG00000155085.15
FIG4,ENSG00000112367.11
WASF1,ENSG00000112290.13
CDK19,ENSG00000155111.15
MFSD4B,ENSG00000173214.7
FYN,ENSG00000010810.17
MARCKS,ENSG00000277443.3
AL590550.1,ENSG00000287097.1
DSE,ENSG00000111817.19
TSPYL1,ENSG00000189241.8
CALHM6,ENSG00000188820.13
KPNA5,ENSG00000196911.11
MAN1A1,ENSG00000111885.7
TBC1D32,ENSG00000146350.14
SMPDL3A,ENSG00000172594.13
RNF217,ENSG00000146373.16
RNF146,ENSG00000118518.15
THEMIS,ENSG00000172673.10
ARHGAP18,ENSG00000146376.11
L3MBTL3,ENSG00000198945.8
AL355581.1,ENSG00000227678.8
SAMD3,ENSG00000164483.17
MED23,ENSG00000112282.18
STX7,ENSG00000079950.14
VNN1,ENSG00000112299.8
VNN3,ENSG00000093134.15
VNN2,ENSG00000112303.14
SGK1,ENSG00000118515.11
AHI1,ENSG00000135541.21
PDE7B,ENSG00000171408.14
MAP3K5,ENSG00000197442.10
AL121933.2,ENSG00000286646.1
IFNGR1,ENSG00000027697.15
WAKMAR2,ENSG00000237499.7
TNFAIP3,ENSG00000118503.15
AL592429.1,ENSG00000218565.2
CITED2,ENSG00000164442.10
HIVEP2,ENSG00000010818.10
AIG1,ENSG00000146416.19
PLAGL1,ENSG00000118495.20
HYMAI,ENSG00000283122.1
STX11,ENSG00000135604.10
UTRN,ENSG00000152818.18
FBXO30,ENSG00000118496.5
SHPRH,ENSG00000146414.16
RAB32,ENSG00000118508.5
STXBP5,ENSG00000164506.14
SASH1,ENSG00000111961.18
UST,ENSG00000111962.8
ZC3H12D,ENSG00000178199.14
RPS18P9,ENSG00000220848.5
PLEKHG1,ENSG00000120278.16
CCDC170,ENSG00000120262.10
SYNE1,ENSG00000131018.24
IPCEF1,ENSG00000074706.13
SCAF8,ENSG00000213079.9
ZDHHC14,ENSG00000175048.17
SNX9,ENSG00000130340.16
SERAC1,ENSG00000122335.17
TULP4,ENSG00000130338.13
TMEM181,ENSG00000146433.8
SYTL3,ENSG00000164674.15
RSPH3,ENSG00000130363.12
TAGAP,ENSG00000164691.18
SOD2,ENSG00000112096.18
IGF2R,ENSG00000197081.14
AL353625.1,ENSG00000213073.4
LPAL2,ENSG00000213071.11
MAP3K4,ENSG00000085511.20
AGPAT4,ENSG00000026652.15
QKI,ENSG00000112531.17
AL022069.3,ENSG00000286760.1
RNASET2,ENSG00000026297.16
Z94721.3,ENSG00000285730.1
CCR6,ENSG00000112486.16
WDR27,ENSG00000184465.16
TCTE3,ENSG00000184786.6
FAM120B,ENSG00000112584.13
AC215522.2,ENSG00000282572.2
FAM20C,ENSG00000177706.9
PDGFA,ENSG00000197461.13
AC147651.1,ENSG00000223855.2
PRKAR1B,ENSG00000188191.15
ADAP1,ENSG00000105963.15
MICALL2,ENSG00000164877.19
INTS1,ENSG00000164880.16
MAFK,ENSG00000198517.10
CHST12,ENSG00000136213.10
LFNG,ENSG00000106003.13
IQCE,ENSG00000106012.18
TTYH3,ENSG00000136295.15
CARD11,ENSG00000198286.9
AC092428.1,ENSG00000287665.1
RNF216P1,ENSG00000196204.11
RBAK,ENSG00000146587.18
TNRC18,ENSG00000182095.14
FBXL18,ENSG00000155034.19
FSCN1,ENSG00000075618.18
EIF2AK1,ENSG00000086232.13
USP42,ENSG00000106346.11
CYTH3,ENSG00000008256.16
DAGLB,ENSG00000164535.15
ZNF853,ENSG00000236609.4
ZNF316,ENSG00000205903.7
ZNF12,ENSG00000164631.19
AC004982.2,ENSG00000272894.5
GLCCI1,ENSG00000106415.13
CRPPA,ENSG00000214960.10
TSPAN13,ENSG00000106537.8
SNX13,ENSG00000071189.21
HDAC9,ENSG00000048052.21
TWIST1,ENSG00000122691.13
SP4,ENSG00000105866.15
IGF2BP3,ENSG00000136231.14
CCDC126,ENSG00000169193.12
OSBPL3,ENSG00000070882.13
SKAP2,ENSG00000005020.13
HOTAIRM1,ENSG00000233429.9
JAZF1,ENSG00000153814.13
CREB5,ENSG00000146592.17
CPVL,ENSG00000106066.15
CHN2,ENSG00000106069.23
PLEKHA8,ENSG00000106086.20
MTURN,ENSG00000180354.16
ZNRF2,ENSG00000180233.11
AC006978.1,ENSG00000235859.5
NOD1,ENSG00000106100.11
GARS1-DT,ENSG00000196295.12
AVL9,ENSG00000105778.19
NT5C3A,ENSG00000122643.22
BBS9,ENSG00000122507.21
DPY19L1,ENSG00000173852.14
AOAH,ENSG00000136250.12
GPR141,ENSG00000187037.8
NME8,ENSG00000086288.12
TRGC2,ENSG00000227191.8
TRGC1,ENSG00000211689.7
TRG-AS1,ENSG00000281103.2
LINC00265,ENSG00000188185.12
STK17A,ENSG00000164543.7
AC004951.1,ENSG00000228434.1
AC017116.2,ENSG00000285596.1
POLR2J4-1,ENSG00000272655.2
RASA4CP,ENSG00000228903.7
POLM,ENSG00000122678.17
AEBP1,ENSG00000106624.11
ZMIZ2,ENSG00000122515.15
PURB,ENSG00000146676.10
GTF2IP13,ENSG00000272556.2
IGFBP3,ENSG00000146674.15
TNS3,ENSG00000136205.17
UPP1,ENSG00000183696.14
GRB10,ENSG00000106070.20
ZNF680,ENSG00000173041.12
ZNF117,ENSG00000152926.15
ERV3-1,ENSG00000213462.5
CCT6P3,ENSG00000234585.6
AC073107.1,ENSG00000272693.4
CCT6P1,ENSG00000228409.6
TPST1,ENSG00000169902.15
LINC00174,ENSG00000179406.8
KCTD7,ENSG00000243335.9
AC027644.3,ENSG00000272831.1
GTF2IRD1P1,ENSG00000230583.7
SBDS,ENSG00000126524.10
AUTS2,ENSG00000158321.18
TYW1B,ENSG00000277149.5
AC211476.4,ENSG00000272843.1
NSUN5P2,ENSG00000106133.18
STAG3L3,ENSG00000174353.17
NCF1B,ENSG00000182487.12
STX1A,ENSG00000106089.12
ABHD11-AS1,ENSG00000225969.2
LAT2,ENSG00000086730.17
CLIP2,ENSG00000106665.16
NCF1,ENSG00000158517.15
GTF2IRD2,ENSG00000196275.14
CASTOR2,ENSG00000274070.2
GTF2IRD2B,ENSG00000174428.18
NCF1C,ENSG00000165178.9
STAG3L1,ENSG00000205583.13
NSUN5P1,ENSG00000223705.9
POM121C,ENSG00000272391.6
PMS2P3,ENSG00000127957.18
HIP1,ENSG00000127946.17
HSPB1,ENSG00000106211.9
DTX2,ENSG00000091073.19
AC004980.1,ENSG00000205485.13
FAM185BP,ENSG00000214439.4
CCDC146,ENSG00000135205.15
FGL2,ENSG00000127951.7
GSAP,ENSG00000186088.16
PTPN12,ENSG00000127947.16
CD36,ENSG00000135218.19
SEMA3C,ENSG00000075223.14
HGF,ENSG00000019991.18
KIAA1324L,ENSG00000164659.15
AC005076.2,ENSG00000224046.2
DMTF1,ENSG00000135164.18
ABCB1,ENSG00000085563.15
ADAM22,ENSG00000008277.14
STEAP4,ENSG00000127954.12
CDK14,ENSG00000058091.17
KRIT1,ENSG00000001631.15
ANKIB1,ENSG00000001629.10
GATAD1,ENSG00000157259.8
PEX1,ENSG00000127980.16
RBM48,ENSG00000127993.16
CDK6,ENSG00000105810.10
GNG11,ENSG00000127920.6
CASD1,ENSG00000127995.17
AC002451.1,ENSG00000231170.7
PDK4,ENSG00000004799.8
LMTK2,ENSG00000164715.6
TECPR1,ENSG00000205356.10
BRI3,ENSG00000164713.10
TRRAP,ENSG00000196367.13
SMURF1,ENSG00000198742.9
ARPC1A,ENSG00000241685.10
FAM200A,ENSG00000221909.3
CYP3A5,ENSG00000106258.15
ZSCAN21,ENSG00000166529.15
ZNF3,ENSG00000166526.18
MCM7,ENSG00000166508.18
CASTOR3,ENSG00000239521.8
PILRB,ENSG00000121716.20
PILRA,ENSG00000085514.16
ZCWPW1,ENSG00000078487.17
MEPCE,ENSG00000146834.14
AGFG2,ENSG00000106351.13
SAP25,ENSG00000205307.12
AC069281.2,ENSG00000274272.1
GIGYF1,ENSG00000146830.10
SLC12A9,ENSG00000146828.18
SRRT,ENSG00000087087.20
MUC12,ENSG00000205277.9
TRIM56,ENSG00000169871.13
SERPINE1,ENSG00000106366.9
CLDN15,ENSG00000106404.13
CUX1,ENSG00000257923.11
SH2B2,ENSG00000160999.10
ORAI2,ENSG00000160991.16
POLR2J3-1,ENSG00000285437.1
NAPEPLD,ENSG00000161048.11
AC007384.1,ENSG00000237513.2
KMT2E-AS1,ENSG00000239569.3
AC005070.3,ENSG00000272918.1
ATXN7L1,ENSG00000146776.14
CDHR3,ENSG00000128536.16
NAMPT,ENSG00000105835.12
AC007032.1,ENSG00000273320.1
CCDC71L,ENSG00000253276.4
PIK3CG,ENSG00000105851.11
PRKAR2B,ENSG00000005249.13
BCAP29,ENSG00000075790.10
SLC26A4-AS1,ENSG00000233705.7
DNAJB9,ENSG00000128590.5
LRRN3,ENSG00000173114.13
DOCK4,ENSG00000128512.23
IFRD1,ENSG00000006652.14
TMEM168,ENSG00000146802.13
TFEC,ENSG00000105967.16
AC073130.3,ENSG00000279086.1
ST7,ENSG00000004866.20
WASL,ENSG00000106299.8
AC006333.1,ENSG00000272686.1
GCC1,ENSG00000179562.3
HILPDA,ENSG00000135245.10
AC090114.2,ENSG00000273270.1
AC108010.1,ENSG00000242588.6
AC018638.5,ENSG00000243679.1
CCDC136,ENSG00000128596.17
IRF5,ENSG00000128604.20
TSPAN33,ENSG00000158457.6
SMKR1,ENSG00000240204.3
AC078846.1,ENSG00000273329.1
UBE2H,ENSG00000186591.13
CPA5,ENSG00000158525.15
MEST,ENSG00000106484.16
AC016831.6,ENSG00000285106.2
AC016831.1,ENSG00000226380.9
AC016831.4,ENSG00000271204.1
AC058791.1,ENSG00000273319.1
LINC-PINT,ENSG00000231721.7
MKLN1,ENSG00000128585.18
PLXNA4,ENSG00000221866.9
CALD1,ENSG00000122786.20
TMEM140,ENSG00000146859.6
AC083862.2,ENSG00000287733.1
WDR91,ENSG00000105875.14
TRIM24,ENSG00000122779.18
ZC3HAV1L,ENSG00000146858.8
UBN2,ENSG00000157741.15
AC083880.1,ENSG00000273391.1
HIPK2,ENSG00000064393.16
TBXAS1,ENSG00000059377.18
KDM7A,ENSG00000006459.11
KDM7A-DT,ENSG00000260231.2
BRAF,ENSG00000157764.13
DENND11,ENSG00000257093.7
MGAM,ENSG00000257335.8
CLEC5A,ENSG00000258227.7
TRBC1,ENSG00000211751.9
TRBC2,ENSG00000211772.11
EPHB6,ENSG00000106123.12
AC093673.1,ENSG00000232533.1
EPHA1-AS1,ENSG00000229153.5
ZNF786,ENSG00000197362.15
ZNF398,ENSG00000197024.9
ZNF282,ENSG00000170265.12
ZNF783,ENSG00000204946.10
ZNF746,ENSG00000181220.17
ZNF767P,ENSG00000133624.13
ZNF467,ENSG00000181444.13
ZNF862,ENSG00000106479.11
ACTR3C,ENSG00000106526.10
ZBED6CL,ENSG00000188707.6
AC073111.4,ENSG00000284691.1
LINC00996,ENSG00000242258.1
GIMAP8,ENSG00000171115.4
GIMAP7,ENSG00000179144.5
GIMAP4,ENSG00000133574.10
GIMAP6,ENSG00000133561.15
GIMAP1,ENSG00000213203.3
GIMAP5,ENSG00000196329.11
TMEM176B,ENSG00000106565.18
TMEM176A,ENSG00000002933.9
SLC4A2,ENSG00000164889.14
AGAP3,ENSG00000133612.19
CHPF2,ENSG00000033100.16
SMARCD3,ENSG00000082014.16
WDR86-AS1,ENSG00000243836.5
PRKAG2,ENSG00000106617.15
AC006017.2,ENSG00000276213.1
GALNT11,ENSG00000178234.13
KMT2C,ENSG00000055609.18
LINC01003,ENSG00000261455.1
ACTR3B,ENSG00000133627.18
PAXIP1-AS2,ENSG00000214106.9
PAXIP1-AS1,ENSG00000273344.1
AC144652.1,ENSG00000273117.1
INSIG1,ENSG00000186480.13
AC009403.1,ENSG00000216895.9
WDR60,ENSG00000126870.16
VIPR2,ENSG00000106018.14
ZNF596,ENSG00000172748.14
CLN8,ENSG00000182372.10
AC100810.1,ENSG00000253982.2
KBTBD11,ENSG00000176595.4
MYOM2,ENSG00000036448.10
DEFA3,ENSG00000239839.7
PRAG1,ENSG00000275342.5
PPP1R3B,ENSG00000173281.5
TNKS,ENSG00000173273.16
MTMR9,ENSG00000104643.10
BLK,ENSG00000136573.14
AC069185.1,ENSG00000255046.1
CTSB,ENSG00000164733.21
AC145124.1,ENSG00000255495.1
LONRF1,ENSG00000154359.13
ASAH1,ENSG00000104763.19
CSGALNACT1,ENSG00000147408.14
ATP6V1B2,ENSG00000147416.11
DMTN,ENSG00000158856.18
FAM160B2,ENSG00000158863.22
BMP1,ENSG00000168487.19
C8orf58,ENSG00000241852.10
AC037459.2,ENSG00000253200.1
EGR3,ENSG00000179388.9
AC107959.1,ENSG00000245025.3
RHOBTB2,ENSG00000008853.17
TNFRSF10B,ENSG00000120889.13
AC107959.4,ENSG00000284948.1
TNFRSF10C,ENSG00000173535.15
TNFRSF10D,ENSG00000173530.6
ENTPD4,ENSG00000197217.13
SLC25A37,ENSG00000147454.14
ADAM28,ENSG00000042980.13
NEFL,ENSG00000277586.3
DOCK5,ENSG00000147459.18
SDAD1P1,ENSG00000228451.4
DPYSL2,ENSG00000092964.18
TRIM35,ENSG00000104228.13
PTK2B,ENSG00000120899.18
EPHX2,ENSG00000120915.14
CLU,ENSG00000120885.22
NUGGC,ENSG00000189233.12
ZNF395,ENSG00000186918.14
EXTL3,ENSG00000012232.9
HMBOX1,ENSG00000147421.18
KIF13B,ENSG00000197892.13
DUSP4,ENSG00000120875.9
AC044849.1,ENSG00000272256.1
LEPROTL1,ENSG00000104660.19
AC026979.2,ENSG00000271869.1
NRG1,ENSG00000157168.20
ZNF703,ENSG00000183779.7
ADGRA2,ENSG00000020181.18
RAB11FIP1,ENSG00000156675.16
AC087623.2,ENSG00000272092.1
FGFR1,ENSG00000077782.21
ADAM9,ENSG00000168615.12
IDO1,ENSG00000131203.13
ANK1,ENSG00000029534.21
AC083973.1,ENSG00000253408.6
IKBKB,ENSG00000104365.15
HGSNAT,ENSG00000165102.15
SPIDR,ENSG00000164808.17
CEBPD,ENSG00000221869.5
PCMTD1,ENSG00000168300.14
AC064807.1,ENSG00000228801.6
LYN,ENSG00000254087.8
AC018607.1,ENSG00000254325.2
TOX,ENSG00000198846.6
AC090152.1,ENSG00000167912.6
CHD7,ENSG00000171316.12
AC022182.2,ENSG00000254802.1
ASPH,ENSG00000198363.18
ADHFE1,ENSG00000147576.17
MYBL1,ENSG00000185697.16
VCPIP1,ENSG00000175073.8
C8orf44,ENSG00000288596.1
SGK3,ENSG00000104205.16
NCOA2,ENSG00000140396.13
LACTB2-AS1,ENSG00000246366.6
MSC-AS1,ENSG00000235531.11
MSC,ENSG00000178860.8
RDH10,ENSG00000121039.10
UBE2W,ENSG00000104343.21
TMEM70,ENSG00000175606.11
LY96,ENSG00000154589.7
IL7,ENSG00000104432.14
ZBTB10,ENSG00000205189.12
PAG1,ENSG00000076641.4
E2F5,ENSG00000133740.11
CA13,ENSG00000185015.8
CA2,ENSG00000104267.10
WWP1,ENSG00000123124.14
AF117829.1,ENSG00000251136.9
RIPK2,ENSG00000104312.8
TMEM64,ENSG00000180694.14
PIP4P2,ENSG00000155099.8
OTUD6B-AS1,ENSG00000253738.2
TRIQK,ENSG00000205133.12
RBM12B,ENSG00000183808.11
TMEM67,ENSG00000164953.16
RPL34P18,ENSG00000240509.1
GEM,ENSG00000164949.8
TP53INP1,ENSG00000164938.14
PLEKHF2,ENSG00000175895.4
CPQ,ENSG00000104324.16
LAPTM4B,ENSG00000104341.17
NIPAL2,ENSG00000104361.10
VPS13B,ENSG00000132549.18
RNF19A,ENSG00000034677.13
NCALD,ENSG00000104490.18
UBR5-AS1,ENSG00000246263.3
KLF10,ENSG00000155090.15
AZIN1-AS1,ENSG00000253320.7
LRP12,ENSG00000147650.11
OXR1,ENSG00000164830.18
TRPS1,ENSG00000104447.12
RAD21,ENSG00000164754.15
EXT1,ENSG00000182197.12
SAMD12,ENSG00000177570.14
SNTB1,ENSG00000172164.15
ZHX2,ENSG00000178764.8
TBC1D31,ENSG00000156787.17
FBXO32,ENSG00000156804.7
FAM91A1,ENSG00000176853.16
RNF139-AS1,ENSG00000245149.4
MTSS1,ENSG00000170873.18
TRIB1,ENSG00000173334.4
AC016074.2,ENSG00000286122.1
LINC00861,ENSG00000245164.8
PCAT1,ENSG00000253438.4
MYC,ENSG00000136997.20
PVT1,ENSG00000249859.11
LINC00824,ENSG00000254275.6
ASAP1,ENSG00000153317.15
ASAP1-IT2,ENSG00000280543.1
TMEM71,ENSG00000165071.14
SLA,ENSG00000155926.14
NDRG1,ENSG00000104419.16
ZFAT,ENSG00000066827.16
TRAPPC9,ENSG00000167632.17
AGO2,ENSG00000123908.12
PTK2,ENSG00000169398.19
DENND3,ENSG00000105339.10
AC040970.1,ENSG00000253210.2
SLC45A4,ENSG00000022567.9
JRK,ENSG00000234616.9
LYPD2,ENSG00000197353.4
C8orf31,ENSG00000177335.11
GLI4,ENSG00000250571.7
MINCR,ENSG00000253716.6
ZNF696,ENSG00000185730.8
MROH6,ENSG00000204839.9
ZNF623,ENSG00000183309.11
ZNF707,ENSG00000181135.16
SCRIB,ENSG00000180900.20
NRBP2,ENSG00000185189.18
PLEC,ENSG00000178209.15
GRINA,ENSG00000178719.17
OPLAH,ENSG00000178814.17
MROH1,ENSG00000179832.17
CYHR1,ENSG00000187954.12
KIFC2,ENSG00000167702.12
ZNF7,ENSG00000147789.15
ZNF252P,ENSG00000196922.10
WASHC1,ENSG00000181404.17
DOCK8-AS1,ENSG00000183784.7
RFX3,ENSG00000080298.15
RFX3-AS1,ENSG00000232104.3
SPATA6L,ENSG00000106686.16
PLPP6,ENSG00000205808.7
JAK2,ENSG00000096968.14
PDCD1LG2,ENSG00000197646.8
KIAA2026,ENSG00000183354.12
RANBP6,ENSG00000137040.10
TTC39B,ENSG00000155158.20
BNC2,ENSG00000173068.18
CNTLN,ENSG00000044459.15
AL161909.1,ENSG00000232176.1
DENND4C,ENSG00000137145.20
HACD4,ENSG00000188921.14
KLHL9,ENSG00000198642.7
AL359922.3,ENSG00000279670.1
CDKN2A,ENSG00000147889.17
CDKN2B,ENSG00000147883.12
C9orf72,ENSG00000147894.17
DDX58,ENSG00000107201.10
B4GALT1-AS1,ENSG00000233554.6
NFX1,ENSG00000086102.19
AQP3,ENSG00000165272.16
FAM219A,ENSG00000164970.15
ENHO,ENSG00000168913.7
IL11RA,ENSG00000137070.18
FAM214B,ENSG00000005238.19
RUSC2,ENSG00000198853.12
TESK1,ENSG00000107140.16
CD72,ENSG00000137101.13
TPM2,ENSG00000198467.16
TLN1,ENSG00000137076.21
GBA2,ENSG00000070610.14
RGP1,ENSG00000107185.10
AL133410.1,ENSG00000227388.3
SPAG8,ENSG00000137098.14
RECK,ENSG00000122707.12
RNF38,ENSG00000137075.18
TRMT10B,ENSG00000165275.10
AL353763.2,ENSG00000280077.1
LINC01410,ENSG00000238113.7
AL512625.3,ENSG00000287168.1
ZNF658,ENSG00000274349.4
CBWD3,ENSG00000196873.15
LINC01506,ENSG00000234506.5
PIP5K1B,ENSG00000107242.20
KLF9,ENSG00000119138.4
CEMIP2,ENSG00000135048.14
LINC01504,ENSG00000225434.3
ALDH1A1,ENSG00000165092.13
ANXA1,ENSG00000135046.14
PCSK5,ENSG00000099139.14
GNAQ,ENSG00000156052.11
CEP78,ENSG00000148019.14
PSAT1,ENSG00000135069.14
TLE1,ENSG00000196781.16
FRMD3,ENSG00000172159.16
GKAP1,ENSG00000165113.13
KIF27,ENSG00000165115.15
SLC28A3,ENSG00000197506.8
AGTPBP1,ENSG00000135049.15
AL353743.1,ENSG00000165121.11
GOLM1,ENSG00000135052.16
DAPK1,ENSG00000196730.13
CTSL,ENSG00000135047.15
S1PR3,ENSG00000213694.6
CKS2,ENSG00000123975.5
SEMA4D,ENSG00000187764.11
GADD45G,ENSG00000130222.11
AL606807.1,ENSG00000237372.4
SYK,ENSG00000165025.15
AL158071.3,ENSG00000230537.2
BICD2,ENSG00000185963.14
ZNF484,ENSG00000127081.14
FGD3,ENSG00000127084.19
CARD19,ENSG00000165233.18
NINJ1,ENSG00000131669.10
MIRLET7A1HG,ENSG00000269929.3
ZNF169,ENSG00000175787.17
FBP1,ENSG00000165140.11
AOPEP,ENSG00000148120.16
PTCH1,ENSG00000185920.16
ERCC6L2,ENSG00000182150.17
LINC00092,ENSG00000225194.3
SLC35D2,ENSG00000130958.13
AL133477.1,ENSG00000286835.1
CDC14B,ENSG00000081377.17
ZNF782,ENSG00000196597.13
MFSD14C,ENSG00000196312.15
AL590705.1,ENSG00000203279.4
TDRD7,ENSG00000196116.8
TSTD2,ENSG00000136925.15
AL499604.2,ENSG00000287070.1
TRIM14,ENSG00000106785.15
TBC1D2,ENSG00000095383.20
GALNT12,ENSG00000119514.7
TGFBR1,ENSG00000106799.13
NR4A3,ENSG00000119508.18
INVS,ENSG00000119509.13
MSANTD3,ENSG00000066697.14
ZNF189,ENSG00000136870.10
ABCA1,ENSG00000165029.16
SLC44A1,ENSG00000070214.16
FKTN,ENSG00000106692.14
KLF4,ENSG00000136826.15
PALM2AKAP2,ENSG00000157654.19
TXN,ENSG00000136810.13
LPAR1,ENSG00000198121.13
ZNF483,ENSG00000173258.13
UGCG,ENSG00000148154.10
AL138756.1,ENSG00000259953.2
SUSD1,ENSG00000106868.17
SNX30,ENSG00000148158.17
SLC46A2,ENSG00000119457.8
SLC31A2,ENSG00000136867.11
RGS3,ENSG00000138835.22
AKNA,ENSG00000106948.16
WHRN,ENSG00000095397.16
TNFSF8,ENSG00000106952.7
ASTN2,ENSG00000148219.16
TRIM32,ENSG00000119401.10
TLR4,ENSG00000136869.16
CDK5RAP2,ENSG00000136861.18
MEGF9,ENSG00000106780.9
CUTALP,ENSG00000226752.9
TRAF1,ENSG00000056558.11
GSN,ENSG00000148180.19
STOM,ENSG00000148175.13
GGTA1P,ENSG00000204136.10
TTLL11,ENSG00000175764.14
PTGS1,ENSG00000095303.17
DENND1A,ENSG00000119522.16
NR6A1,ENSG00000148200.17
GOLGA1,ENSG00000136935.14
HSPA5,ENSG00000044574.8
MVB12B,ENSG00000196814.15
ZBTB43,ENSG00000169155.10
ZBTB34,ENSG00000177125.5
RALGPS1,ENSG00000136828.19
LRSAM1,ENSG00000148356.13
NIBAN2,ENSG00000136830.12
TTC16,ENSG00000167094.16
SH2D3C,ENSG00000095370.20
AK1,ENSG00000106992.19
FAM102A,ENSG00000167106.12
SLC25A25-AS1,ENSG00000234771.3
LCN2,ENSG00000148346.12
DNM1,ENSG00000106976.21
GOLGA2,ENSG00000167110.18
SWI5,ENSG00000175854.12
CERCAM,ENSG00000167123.19
AL356481.1,ENSG00000228395.2
SPTAN1,ENSG00000197694.18
ZER1,ENSG00000160445.11
TBC1D13,ENSG00000107021.16
MIGA2,ENSG00000148343.18
CRAT,ENSG00000095321.17
IER5L,ENSG00000188483.8
LINC01503,ENSG00000233901.6
LINC00963,ENSG00000204054.14
AL391056.1,ENSG00000227619.3
USP20,ENSG00000136878.13
NUP214,ENSG00000126883.17
FAM78A,ENSG00000126882.13
PRRC2B,ENSG00000130723.20
NTNG2,ENSG00000196358.11
SETX,ENSG00000107290.14
GFI1B,ENSG00000165702.14
EEF1A1P5,ENSG00000196205.8
RALGDS,ENSG00000160271.16
GBGT1,ENSG00000148288.13
ABO,ENSG00000175164.15
MED22,ENSG00000148297.16
CACFD1,ENSG00000160325.14
SLC2A6,ENSG00000160326.14
BRD3,ENSG00000169925.17
RXRA,ENSG00000186350.12
FCN1,ENSG00000085265.11
OLFM1,ENSG00000130558.19
NACC2,ENSG00000148411.8
GPSM1,ENSG00000160360.13
CARD9,ENSG00000187796.15
SNAPC4,ENSG00000165684.4
SEC16A,ENSG00000148396.18
NOTCH1,ENSG00000148400.12
EGFL7,ENSG00000172889.16
AJM1,ENSG00000232434.2
MAMDC4,ENSG00000177943.14
C8G,ENSG00000176919.13
PTGDS,ENSG00000107317.13
CLIC3,ENSG00000169583.13
ABCA2,ENSG00000107331.17
C9orf139,ENSG00000180539.8
FUT7,ENSG00000180549.8
NPDC1,ENSG00000107281.10
BX255925.3,ENSG00000284976.1
TUBB4B,ENSG00000188229.6
TOR4A,ENSG00000198113.3
NOXA1,ENSG00000188747.8
NSMF,ENSG00000165802.23
